date,close,volume,open,high,low,,,,,
,,,,,,,986.5085,924.5101,,966.78
10/6/2017,993.64,1551905,980,994.26,978.51,,,,,
10/5/2017,985.19,1778767,972.79,986.5085,970.27,,,,,0.681790175
10/4/2017,966.78,1056204,971.76,974.4,965.61,,,,,
10/3/2017,972.08,1083811,967.56,972.44,962.705,,,,,
10/2/2017,967.47,1536652,975.65,977.74,961.95,,,,,
9/29/2017,973.72,2026337,966,975.81,966,,,,,
9/28/2017,964.81,1400397,956.25,966.18,955.55,,,,,
9/27/2017,959.9,2332282,942.74,965.43,941.95,,,,,
9/26/2017,937.43,1628565,936.69,944.08,935.12,,,,,
9/25/2017,934.28,1869992,939.45,939.75,924.5101,,,,,
9/22/2017,943.26,1074266,942.77,950,940.835,,,,,
9/21/2017,947.55,1307418,948.13,952.8,939.38,,,,,
9/20/2017,947.54,1922862,937.73,950,937.5,,,,,
9/19/2017,936.86,1232224,933.41,937.94,926.66,,,,,
9/18/2017,929.75,1456206,935.01,936.86,925.4,,,,,
9/15/2017,935.29,1956538,940.09,941.75,931.25,,,,,
9/14/2017,940.13,1424567,946,948.03,938.356,,,,,
9/13/2017,950.44,1094735,945.5,952.85,944.74,,,,,
9/12/2017,946.65,1283580,946.92,948.085,937.5,,,,,
9/11/2017,943.29,1336181,947.2,952.68,941,,,,,
9/8/2017,941.41,999254,949.7,950.7,940.01,,,,,
9/7/2017,949.89,1115442,944.25,950.4965,937.53,,,,,
9/6/2017,942.02,1390301,943.87,944.5,932.68,,,,,
9/5/2017,941.48,1458147,946.86,951.3854,935.6,,,,,
9/1/2017,951.99,1040545,957.47,958.33,950.28,,,,,
8/31/2017,955.24,1692138,946.3,957.195,946.25,,,,,
8/30/2017,943.63,1118563,935.67,945.86,934.05,,,,,
8/29/2017,935.75,1158354,919.95,938.19,919.31,,,,,
8/28/2017,928.13,1044123,931.88,934.85,926.11,,,,,
8/25/2017,930.5,1184541,939.21,940.73,930.1,,,,,
8/24/2017,936.89,1294082,943.71,946.31,930.74,,,,,
8/23/2017,942.58,1133170,937,945.425,935.24,,,,,
8/22/2017,940.4,1759671,926.96,941.9617,926.17,,,,,
8/21/2017,920.87,1299116,925.77,928.25,918.6,,,,,
8/18/2017,926.18,1334709,926.98,931.02,923.45,,,,,
8/17/2017,927.66,1673792,942.95,943.81,927.64,,,,,
8/16/2017,944.27,1343195,941.25,949.9,940.0391,,,,,
8/15/2017,938.08,1103653,941.03,943.07,936.64,,,,,
8/14/2017,938.93,1149516,939.07,941.04,934.485,,,,,
8/11/2017,930.09,1615509,923.71,933.36,921.22,,,,,
8/10/2017,923.59,2704040,935,936.3,921.7768,,,,,
8/9/2017,940.08,1396204,938.45,943.76,933.92,,,,,
8/8/2017,944.19,1499665,944.29,952.49,942.48,,,,,
8/7/2017,945.75,1444154,947.52,948.96,943.5,,,,,
8/4/2017,945.79,1202478,943.95,947.54,939.795,,,,,
8/3/2017,940.3,1051251,949.1,950,939.44,,,,,
8/2/2017,947.64,2037607,948.37,949.1,932.521,,,,,
8/1/2017,946.56,1324952,947.81,954.49,944.96,,,,,
7/31/2017,945.5,2289972,960,961.1925,941.725,,,,,
7/28/2017,958.33,1813698,947.99,961.79,945.31,,,,,
7/27/2017,952.51,3710908,969.18,969.52,937.06,,,,,
7/26/2017,965.31,2190430,972.78,973.95,960.23,,,,,
7/25/2017,969.03,5929386,970.7,976.73,963.8,,,,,
7/24/2017,998.31,3894298,994.1,1006.19,990.2728,,,,,
7/21/2017,993.84,1461289,989,995.11,984.17,,,,,
7/20/2017,992.19,1415715,997,998.68,984.62,,,,,
7/19/2017,992.77,1397612,990.01,995.6,987.01,,,,,
7/18/2017,986.95,1406825,973.36,990.85,972.04,,,,,
7/17/2017,975.96,1655881,976.32,983.35,970.8,,,,,
7/14/2017,976.91,1071565,974,977.54,970.15,,,,,
7/13/2017,968.85,1523367,970.8,978.7,964.8,,,,,
7/12/2017,967.66,1599395,960.86,969.63,957.04,,,,,
7/11/2017,953.53,1460582,950.52,954.89,945.12,,,,,
7/10/2017,951,1411447,941.95,953.13,941.95,,,,,
7/7/2017,940.81,1618240,930.985,944.66,929.79,,,,,
7/6/2017,927.69,2013940,925,936.14,919.85,,,,,
